Date,Precipitation,Evapotranspiration,Observed_Flow
2010-01-01,8.95,1.0,0.0
2010-01-02,5.12,1.0,0.0
2010-01-03,0.0,1.0,0.272
2010-01-04,0.0,1.0,0.0
2010-01-05,0.0,1.0,0.0
2010-01-06,11.04,1.01,0.28
2010-01-07,0.0,1.01,0.271
2010-01-08,9.28,1.01,0.0
2010-01-09,0.0,1.01,0.0
2010-01-10,0.4,1.02,0.356
2010-01-11,1.89,1.02,0.235
2010-01-12,7.7,1.03,0.055
2010-01-13,0.0,1.03,0.727
2010-01-14,0.0,1.04,0.0
2010-01-15,3.36,1.04,0.0
2010-01-16,0.0,1.05,0.0
2010-01-17,0.0,1.06,0.047
2010-01-18,0.0,1.06,0.116
2010-01-19,5.76,1.07,0.0
2010-01-20,1.78,1.08,0.244
2010-01-21,0.0,1.09,0.0
2010-01-22,1.41,1.1,0.489
2010-01-23,6.96,1.11,0.061
2010-01-24,0.0,1.12,0.505
2010-01-25,0.0,1.13,0.203
2010-01-26,5.23,1.14,0.214
2010-01-27,4.35,1.15,0.328
2010-01-28,0.0,1.16,0.294
2010-01-29,13.61,1.17,0.353
2010-01-30,7.76,1.18,0.778
2010-01-31,3.99,1.2,0.416
2010-02-01,0.0,1.21,0.431
2010-02-02,0.0,1.22,0.094
2010-02-03,13.36,1.24,0.605
2010-02-04,12.45,1.25,0.271
2010-02-05,2.37,1.26,1.076
2010-02-06,0.0,1.28,0.27
2010-02-07,3.61,1.29,0.0
2010-02-08,4.89,1.31,0.27
2010-02-09,0.0,1.33,0.067
2010-02-10,16.65,1.34,0.559
2010-02-11,0.0,1.36,0.401
2010-02-12,3.0,1.38,0.233
2010-02-13,5.64,1.39,0.0
2010-02-14,19.02,1.41,0.349
2010-02-15,0.0,1.43,0.079
2010-02-16,0.0,1.45,0.0
2010-02-17,0.0,1.46,0.483
2010-02-18,7.98,1.48,0.541
2010-02-19,0.0,1.5,0.585
2010-02-20,3.52,1.52,0.072
2010-02-21,12.31,1.54,0.409
2010-02-22,0.0,1.56,0.643
2010-02-23,6.37,1.58,0.124
2010-02-24,12.78,1.6,1.008
2010-02-25,2.8,1.62,1.02
2010-02-26,4.24,1.64,0.482
2010-02-27,7.58,1.67,0.516
2010-02-28,0.0,1.69,0.656
2010-03-01,1.04,1.71,0.0
2010-03-02,0.0,1.73,0.298
2010-03-03,0.0,1.75,0.166
2010-03-04,8.3,1.78,0.124
2010-03-05,7.34,1.8,0.546
2010-03-06,5.44,1.82,1.22
2010-03-07,0.0,1.85,0.782
2010-03-08,5.69,1.87,0.313
2010-03-09,0.0,1.89,0.704
2010-03-10,31.81,1.92,1.146
2010-03-11,0.0,1.94,1.719
2010-03-12,7.62,1.96,0.928
